usp_refresh_dt_tm,card_type,card_refr_comp_lst,card_refr_comp_hash_id,card_hash_id,id,application,tabnum,grouper,mtrc_id,mtrc_cmn_nm,display_level,metric_name,mtrc_bmrk_ryg_eval_upper_lmt_cmpr_oprt,symbology,metric_value,metric_goal,metric_goal_ovrr_lbl,prim_org_caln_lbl,prim_org_mtrc_calc_raw_nbr,prim_org_mtrc_calc_rnd_nbr,prim_org_bmrk_calc_upper_raw_lmt,metric_state,prim_org_prfm_raw_pct,prim_org_prfm_rnd_pct,prim_org_time_frame_lbl,prim_org_rcnt_day_caln_lbl,prim_org_rcnt_day_calc_lbl,prim_org_rcnt_day_bmrk_oprt,prim_org_rcnt_day_goal,prim_org_rcnt_day_mtrc_calc_raw_nbr,prim_org_rcnt_day_mtrc_calc_rnd_nbr,prim_org_rcnt_day_state,prim_org_rcnt_day_prfm_rnd_pct,prim_org_rcnt_year_caln_lbl,prim_org_rcnt_year_calc_lbl,prim_org_rcnt_year_bmrk_oprt,prim_org_rcnt_year_goal,prim_org_rcnt_year_mtrc_calc_raw_nbr,prim_org_rcnt_year_mtrc_calc_rnd_nbr,prim_org_rcnt_year_state,prim_org_rcnt_year_prfm_rnd_pct,last_update,refresh_cadence,contrib_dat_is_curr_flg,rollup_type,rollup_identifier,rollup_identifier_role_lbl,location_name,location_abbrev,prim_org_hero_2_mtrc_calc_raw_nbr,prim_org_hero_2_mtrc_calc_rnd_nbr,prim_org_hero_2_state,prim_org_hero_2_cntx_lbl
2026-08-17T08:58:39.336,metric,71|Cost Center|123429 HPCPC Hospice,-1875743301117456500,-1875743301117456500,-1875743301117456500,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),123429 HPCPC Hospice,Total Turnover (Rolling 12),<=,%,21.480000000000,,,Jul 2026,21.48,21.48,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1057 AdventHealth Home Health and Hospice Inc,Costing Company,123429 HPCPC Hospice,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|123250 HHTAM Home Care Social Worker,-2332271263983998108,-2332271263983998108,-2332271263983998108,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),123250 HHTAM Home Care Social Worker,Total Turnover (Rolling 12),<=,%,0.000000000000,,,Jul 2026,,,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1057 AdventHealth Home Health and Hospice Inc,Costing Company,123250 HHTAM Home Care Social Worker,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|123248 HHTAM Home Care Occupational Therapy,-569656045082330818,-569656045082330818,-569656045082330818,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),123248 HHTAM Home Care Occupational Therapy,Total Turnover (Rolling 12),<=,%,0.000000000000,,,Jul 2026,,,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1057 AdventHealth Home Health and Hospice Inc,Costing Company,123248 HHTAM Home Care Occupational Therapy,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|111089 HCCFL Hospice Administration LOC GIP,7658254759828573540,7658254759828573540,7658254759828573540,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),111089 HCCFL Hospice Administration LOC GIP,Total Turnover (Rolling 12),<=,%,8.730000000000,,,Jul 2026,8.73,8.73,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1057 AdventHealth Home Health and Hospice Inc,Costing Company,111089 HCCFL Hospice Administration LOC GIP,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|119778 CENCR Olathe,4654702885825212044,4654702885825212044,4654702885825212044,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),119778 CENCR Olathe,Total Turnover (Rolling 12),<=,%,47.060000000000,,,Jul 2026,47.06,47.06,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000175 Centra Care Support,FRL,119778 CENCR Olathe,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|119821 CENCR Ocala,-5516488567076036074,-5516488567076036074,-5516488567076036074,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),119821 CENCR Ocala,Total Turnover (Rolling 12),<=,%,31.910000000000,,,Jul 2026,31.91,31.91,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000175 Centra Care Support,FRL,119821 CENCR Ocala,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|119818 CENCR Carrollwood,-1672886878896139157,-1672886878896139157,-1672886878896139157,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),119818 CENCR Carrollwood,Total Turnover (Rolling 12),<=,%,31.300000000000,,,Jul 2026,31.3,31.3,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000175 Centra Care Support,FRL,119818 CENCR Carrollwood,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|119805 CENCR University,1519440119043152037,1519440119043152037,1519440119043152037,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),119805 CENCR University,Total Turnover (Rolling 12),<=,%,8.700000000000,,,Jul 2026,8.7,8.7,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000175 Centra Care Support,FRL,119805 CENCR University,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|119768 CENCR Employer Health Services,-4948550961059474752,-4948550961059474752,-4948550961059474752,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),119768 CENCR Employer Health Services,Total Turnover (Rolling 12),<=,%,13.190000000000,,,Jul 2026,13.19,13.19,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000175 Centra Care Support,FRL,119768 CENCR Employer Health Services,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|123876 WELL65 Finance 2,-5166432898874020845,-5166432898874020845,-5166432898874020845,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),123876 WELL65 Finance 2,Total Turnover (Rolling 12),<=,%,29.270000000000,,,Jul 2026,29.27,29.27,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000375 Well65 Plus,FRL,123876 WELL65 Finance 2,,,,False,
