Metric,Level,Location Type,Location,Original Division,Final Division,Mapping Status,Matched Evidence,Hierarchy Path
Leader Effectiveness,2,Costing Company,1091 AdventHealth Information Technology,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > AIT Cost Centers by Reporting Hierarchy > 1091 AdventHealth Information Technology
Leader Effectiveness,2,FRL,1000371 AIT,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > AIT Cost Centers by Reporting Hierarchy > 1091 AdventHealth Information Technology > 1000371 AIT
Leader Effectiveness,2,Region,Home Office Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy
Leader Effectiveness,2,Costing Company,1088 AdventHealth Corporate,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1088 AdventHealth Corporate
Leader Effectiveness,2,FRL,1000366 Corporate Home Office,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1088 AdventHealth Corporate > 1000366 Corporate Home Office
Leader Effectiveness,2,FRL,1000368 Revenue Cycle Services,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1088 AdventHealth Corporate > 1000368 Revenue Cycle Services
Leader Effectiveness,2,Costing Company,1156 Consolidated Services Center,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1156 Consolidated Services Center
Leader Effectiveness,2,FRL,1000519 CSC,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1156 Consolidated Services Center > 1000519 CSC
Leader Effectiveness,2,FRL,1000393 Executive,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1000393 Executive
Leader Effectiveness,1,Division,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy
Leader Effectiveness,2,Region,Central Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy
Leader Effectiveness,2,Costing Company,1045 AdventHealth Orlando,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando
Leader Effectiveness,2,FRL,1000138 Orlando Support,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support
Leader Effectiveness,2,FRL,1000139 Orlando,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000139 Orlando
