ItemType,Classification,Name,Extension,RelativePath,FullPath,SizeBytes,SizeMB,Created,LastModified
Directory,Directory,2026-08-17_012508,,output\2026-08-17_012508,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012508,0,0.0,2026-08-17 01:25:08,2026-08-17 01:28:19
File,EXTRACTION OUTPUT,division_mapping_audit_2026-08-17_012508.csv,.csv,output\2026-08-17_012508\division_mapping_audit_2026-08-17_012508.csv,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012508\division_mapping_audit_2026-08-17_012508.csv,5328999,5.0821,2026-08-17 01:28:19,2026-08-17 01:28:19
File,EXTRACTION OUTPUT,vision2030_business_table_2026-08-17_012508.xlsx,.xlsx,output\2026-08-17_012508\vision2030_business_table_2026-08-17_012508.xlsx,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012508\vision2030_business_table_2026-08-17_012508.xlsx,418745,0.3993,2026-08-17 01:28:18,2026-08-17 01:28:19
File,EXTRACTION OUTPUT,vision2030_metrics_raw_2026-08-17_012508.csv,.csv,output\2026-08-17_012508\vision2030_metrics_raw_2026-08-17_012508.csv,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012508\vision2030_metrics_raw_2026-08-17_012508.csv,3511050,3.3484,2026-08-17 01:28:11,2026-08-17 01:28:11
File,EXTRACTION OUTPUT,vision2030_raw_2026-08-17_012508.json,.json,output\2026-08-17_012508\vision2030_raw_2026-08-17_012508.json,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012508\vision2030_raw_2026-08-17_012508.json,16144941,15.397,2026-08-17 01:28:11,2026-08-17 01:28:11
Directory,Directory,2026-08-17_093557,,output\2026-08-17_093557,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_093557,0,0.0,2026-08-17 09:35:58,2026-08-17 09:44:34
File,EXTRACTION OUTPUT,division_mapping_audit_2026-08-17_093557.csv,.csv,output\2026-08-17_093557\division_mapping_audit_2026-08-17_093557.csv,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_093557\division_mapping_audit_2026-08-17_093557.csv,5328999,5.0821,2026-08-17 09:36:26,2026-08-17 09:36:27
File,EXTRACTION OUTPUT,vision2030_business_table_2026-08-17_093557.xlsx,.xlsx,output\2026-08-17_093557\vision2030_business_table_2026-08-17_093557.xlsx,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_093557\vision2030_business_table_2026-08-17_093557.xlsx,437725,0.4174,2026-08-17 09:36:25,2026-08-17 09:44:35
File,EXTRACTION OUTPUT,vision2030_metrics_raw_2026-08-17_093557.csv,.csv,output\2026-08-17_093557\vision2030_metrics_raw_2026-08-17_093557.csv,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_093557\vision2030_metrics_raw_2026-08-17_093557.csv,3518134,3.3552,2026-08-17 09:36:18,2026-08-17 09:36:18
File,EXTRACTION OUTPUT,vision2030_raw_2026-08-17_093557.json,.json,output\2026-08-17_093557\vision2030_raw_2026-08-17_093557.json,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_093557\vision2030_raw_2026-08-17_093557.json,16152025,15.4038,2026-08-17 09:36:18,2026-08-17 09:36:18
