Workbook Sheet,Workbook Row,Metric,Level,Location Type,Location,Original Division,Final Division,Report Geography,Mapping Status,Confidence,Matched Evidence,Hierarchy Path
Learning,169,Leader Effectiveness,2,FRL,1000148 Winter Garden,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Garden,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000148 Winter Garden
Learning,170,Leader Effectiveness,2,FRL,1000149 OSED CFD Lake Mary,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000149 OSED CFD Lake Mary
Learning,171,Leader Effectiveness,2,FRL,1000150 Lake Nona,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000150 Lake Nona
Learning,172,Leader Effectiveness,2,FRL,1000151 OSED CFD Oviedo,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000151 OSED CFD Oviedo
Learning,173,Leader Effectiveness,2,FRL,1000152 OSED CFD Palm Parkway,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000152 OSED CFD Palm Parkway
Learning,174,Leader Effectiveness,2,FRL,1000153 OSED CFD Partin Settlement,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000153 OSED CFD Partin Settlement
Learning,175,Leader Effectiveness,2,FRL,1000154 OSED CFD Clermont,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000154 OSED CFD Clermont
Learning,176,Leader Effectiveness,2,FRL,1000155 OSED CFD Flamingo Crossing,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000155 OSED CFD Flamingo Crossing
Learning,177,Leader Effectiveness,2,FRL,1000156 OSED CFD Millenia,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000156 OSED CFD Millenia
Learning,178,Leader Effectiveness,2,FRL,1000157 Heart of Florida,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Heart of Florida,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1046 AdventHealth Heart of Florida > 1000157 Heart of Florida
Learning,179,Leader Effectiveness,2,FRL,1000158 OSED WFD Four Corners,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Heart of Florida,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1046 AdventHealth Heart of Florida > 1000158 OSED WFD Four Corners
Learning,180,Leader Effectiveness,2,FRL,1000159 OSED WFD Winter Haven,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Heart of Florida,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1046 AdventHealth Heart of Florida > 1000159 OSED WFD Winter Haven
Learning,181,Leader Effectiveness,2,FRL,1000161 Lake Wales,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Lake Wales,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1047 AdventHealth Lake Wales > 1000161 Lake Wales
Learning,182,Leader Effectiveness,2,FRL,1000164 Hope and Healing Center,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000164 Hope and Healing Center
Learning,183,Leader Effectiveness,2,FRL,1000171 OP Rehab CFD Orlando,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000171 OP Rehab CFD Orlando
Learning,184,Leader Effectiveness,2,FRL,1000173 AdventHealth Lab,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000173 AdventHealth Lab
Learning,185,Leader Effectiveness,2,FRL,1000175 Centra Care Support,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1105 AdventHealth Centra Care > 1000175 Centra Care Support
Learning,186,Leader Effectiveness,2,FRL,1000177 Total Health Management,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1049 AdventHealth Total Health Management > 1000177 Total Health Management
Learning,187,Leader Effectiveness,2,FRL,1000179 Retail Primary Care,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1049 AdventHealth Total Health Management > 1000179 Retail Primary Care
Learning,188,Leader Effectiveness,2,FRL,1000181 HFCC Brevard,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1050 Healthfirst AdventHealth Centra Care > 1000181 HFCC Brevard
Learning,189,Leader Effectiveness,2,FRL,1000183 AHMG CFD Central Florida,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000183 AHMG CFD Central Florida
Learning,190,Leader Effectiveness,2,FRL,1000184 AHMG CFD Central Florida Primary Care,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000184 AHMG CFD Central Florida Primary Care
Learning,191,Leader Effectiveness,2,FRL,1000185 AHMG CFD Central Florida System Physician,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000185 AHMG CFD Central Florida System Physician
Learning,192,Leader Effectiveness,2,FRL,1000186 AHMG CFD Orlando,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000186 AHMG CFD Orlando
Learning,193,Leader Effectiveness,2,FRL,1000187 AHMG CFD Altamonte Springs,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Altamonte Springs,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000187 AHMG CFD Altamonte Springs
Learning,194,Leader Effectiveness,2,FRL,1000188 AHMG CFD Apopka,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Apopka,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000188 AHMG CFD Apopka
Learning,195,Leader Effectiveness,2,FRL,1000189 AHMG CFD Winter Garden,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Garden,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000189 AHMG CFD Winter Garden
Learning,196,Leader Effectiveness,2,FRL,1000190 AHMG CFD East Orlando,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,East Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000190 AHMG CFD East Orlando
Learning,197,Leader Effectiveness,2,FRL,1000191 AHMG CFD Winter Park,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Park,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000191 AHMG CFD Winter Park
Learning,198,Leader Effectiveness,2,FRL,1000192 AHMG CFD Kissimmee,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Kissimmee,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000192 AHMG CFD Kissimmee
Learning,199,Leader Effectiveness,2,FRL,1000193 AHMG CFD Celebration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Celebration,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000193 AHMG CFD Celebration
Learning,200,Leader Effectiveness,2,FRL,1000194 AHMG CFD Waterman,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Waterman,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000194 AHMG CFD Waterman
Learning,201,Leader Effectiveness,2,FRL,1000195 AHMG CFD North,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000195 AHMG CFD North
Learning,202,Leader Effectiveness,2,FRL,1000198 AHMG CFD Heart of Florida,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Heart of Florida,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000198 AHMG CFD Heart of Florida
Learning,203,Leader Effectiveness,2,FRL,1000201 AdventHealth University,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1053 AdventHealth University > 1000201 AdventHealth University
Learning,204,Leader Effectiveness,2,FRL,1000203 Imaging CFD Support,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support
Learning,205,Leader Effectiveness,2,FRL,1000207 Imaging Health Parks Support,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000207 Imaging Health Parks Support
Learning,206,Leader Effectiveness,2,FRL,1000213 Hospice Altamonte Springs FL,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,CFD,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000213 Hospice Altamonte Springs FL
Learning,207,Leader Effectiveness,2,FRL,1000215 Tampa,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Tampa,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1059 AdventHealth Tampa > 1000215 Tampa
Learning,208,Leader Effectiveness,2,FRL,1000216 OSED WFD Brandon,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Tampa,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1059 AdventHealth Tampa > 1000216 OSED WFD Brandon
Learning,209,Leader Effectiveness,2,FRL,1000217 OSED WFD N Dale Mabry,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Tampa,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1059 AdventHealth Tampa > 1000217 OSED WFD N Dale Mabry
Learning,210,Leader Effectiveness,2,FRL,1000218 WFD Support,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Tampa,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1059 AdventHealth Tampa > 1000218 WFD Support
Learning,211,Leader Effectiveness,2,FRL,1000219 Ocala,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Ocala,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1060 AdventHealth Ocala > 1000219 Ocala
Learning,212,Leader Effectiveness,2,FRL,1000220 OSED EFD TimberRidge,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Ocala,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1060 AdventHealth Ocala > 1000220 OSED EFD TimberRidge
Learning,213,Leader Effectiveness,2,FRL,1000221 OSED EFD Belleview,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Ocala,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1060 AdventHealth Ocala > 1000221 OSED EFD Belleview
Learning,214,Leader Effectiveness,2,FRL,1000222 Carrollwood,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Carrollwood,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1062 AdventHealth Carrollwood > 1000222 Carrollwood
Learning,215,Leader Effectiveness,2,FRL,1000223 OSED WFD Westchase,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Carrollwood,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1062 AdventHealth Carrollwood > 1000223 OSED WFD Westchase
Learning,216,Leader Effectiveness,2,FRL,1000224 Riverview,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Riverview,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1063 AdventHealth Riverview > 1000224 Riverview
Learning,217,Leader Effectiveness,2,FRL,1000225 Connerton,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Connerton,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1064 AdventHealth Connerton > 1000225 Connerton
Learning,218,Leader Effectiveness,2,FRL,1000226 AHMG WFD Support,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000226 AHMG WFD Support
Learning,219,Leader Effectiveness,2,FRL,1000227 Wesley Chapel,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Wesley Chapel,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1066 AdventHealth Wesley Chapel > 1000227 Wesley Chapel
Learning,220,Leader Effectiveness,2,FRL,1000228 OSED WFD Central Pasco,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Wesley Chapel,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1066 AdventHealth Wesley Chapel > 1000228 OSED WFD Central Pasco
Learning,221,Leader Effectiveness,2,FRL,1000229 Zephyrhills,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Zephyrhills,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1067 AdventHealth Zephyrhills > 1000229 Zephyrhills
Learning,222,Leader Effectiveness,2,FRL,1000231 Dade City,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_FACILITY_TO_DIVISION,high,Dade City,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1068 AdventHealth Dade City > 1000231 Dade City
Learning,223,Leader Effectiveness,2,FRL,1000239 Imaging WFD,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1070 AdventHealth Imaging West Florida > 1000239 Imaging WFD
Learning,224,Leader Effectiveness,2,FRL,1000241 Daytona Beach,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Daytona Beach,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1072 AdventHealth Daytona Beach > 1000241 Daytona Beach
Learning,225,Leader Effectiveness,2,FRL,1000242 OSED EFD Port Orange,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Daytona Beach,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1072 AdventHealth Daytona Beach > 1000242 OSED EFD Port Orange
Learning,226,Leader Effectiveness,2,FRL,1000244 AHMG EFD East Florida,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000244 AHMG EFD East Florida
Learning,227,Leader Effectiveness,2,FRL,1000246 AHMG EFD Daytona Beach,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Daytona Beach,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000246 AHMG EFD Daytona Beach
Learning,228,Leader Effectiveness,2,FRL,1000247 AHMG EFD DeLand,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,DeLand,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000247 AHMG EFD DeLand
Learning,229,Leader Effectiveness,2,FRL,1000249 AHMG EFD Fish Memorial,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Fish Memorial,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000249 AHMG EFD Fish Memorial
Learning,230,Leader Effectiveness,2,FRL,1000251 AHMG EFD Palm Coast,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Palm Coast,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000251 AHMG EFD Palm Coast
Learning,231,Leader Effectiveness,2,FRL,1000253 AHMG EFD New Smyrna Beach,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,New Smyrna Beach,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000253 AHMG EFD New Smyrna Beach
Learning,232,Leader Effectiveness,2,FRL,1000256 AHMG EFD Waterman,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Waterman,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1073 AdventHealth Medical Group East Florida > 1000256 AHMG EFD Waterman
Learning,233,Leader Effectiveness,2,FRL,1000258 East FL Division,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Daytona Beach,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1072 AdventHealth Daytona Beach > 1000258 East FL Division
Learning,234,Leader Effectiveness,2,FRL,1000262 DeLand,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,DeLand,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1077 AdventHealth DeLand > 1000262 DeLand
Learning,235,Leader Effectiveness,2,FRL,1000263 New Smyrna Beach,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,New Smyrna Beach,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1078 AdventHealth New Smyrna Beach > 1000263 New Smyrna Beach
Learning,236,Leader Effectiveness,2,FRL,1000264 Fish Memorial,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Fish Memorial,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1079 AdventHealth Fish Memorial > 1000264 Fish Memorial
Learning,237,Leader Effectiveness,2,FRL,1000265 OSED EFD Deltona,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Fish Memorial,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1079 AdventHealth Fish Memorial > 1000265 OSED EFD Deltona
Learning,238,Leader Effectiveness,2,FRL,1000267 Palm Coast,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Palm Coast,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1081 AdventHealth Palm Coast > 1000267 Palm Coast
Learning,239,Leader Effectiveness,2,FRL,1000268 Palm Coast Parkway,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Palm Coast Parkway,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1082 AdventHealth Palm Coast Parkway > 1000268 Palm Coast Parkway
Learning,240,Leader Effectiveness,2,FRL,1000269 Waterman,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_FACILITY_TO_DIVISION,high,Waterman,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1083 AdventHealth Waterman > 1000269 Waterman
