Row ID,Business Area,Metric,Matched Division,Source Division,Location Type,Location,Original Division,Report Geography,Mapping Status,Mapping Confidence,Mapping Evidence,Value,Local Goal,Derived Goal Status,Status Basis,Source Variance,Source Variance Color,YTD,Data As Of
LEARNING::5,Learning,Internal Leader Fill Rate,Multistate Division (Unresolved),Multistate Division Cost Centers by Reporting Hierarchy,Division,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,N/A,Multistate Division Cost Centers by Reporting Hierarchy,72.3%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::6,Learning,Internal Leader Fill Rate,Primary Health Division,PHD,Division,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,N/A,N/A,N/A,58.4%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::7,Learning,Internal Leader Fill Rate,Corporate Services,Corporate Services Division Cost Centers by Reporting Hierarchy,Region,AIT Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,N/A,corporate services division cost centers by reporting hierarchy,76.8%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::8,Learning,Internal Leader Fill Rate,Central Florida Division,CFD,Region,Central Florida Division Cost Centers by Reporting Hierarchy,CFD,N/A,N/A,N/A,N/A,83.0%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::9,Learning,Internal Leader Fill Rate,East Florida Division,EFD,Region,East Florida Division Cost Centers by Reporting Hierarchy,EFD,N/A,N/A,N/A,N/A,77.3%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::10,Learning,Internal Leader Fill Rate,Multi-State Division 2,MSD 2,Region,Great Lakes Region Cost Centers by Reporting Hierarchy,MSD 2,N/A,N/A,N/A,N/A,66.3%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::11,Learning,Internal Leader Fill Rate,Corporate Services,Corporate Services Division Cost Centers by Reporting Hierarchy,Region,Home Office Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,N/A,corporate services division cost centers by reporting hierarchy,68.1%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::12,Learning,Internal Leader Fill Rate,Multi-State Division 2,MSD 2,Region,Mid America Region Cost Centers by Reporting Hierarchy,MSD 2,N/A,N/A,N/A,N/A,65.1%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::13,Learning,Internal Leader Fill Rate,Primary Health Division,PHD,Region,Primary Health Cost Centers by Reporting Hierarchy,PHD,N/A,N/A,N/A,N/A,58.4%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::14,Learning,Internal Leader Fill Rate,Multi-State Division 1,MSD 1,Region,Rocky Mountain Region Cost Centers by Reporting Hierarchy,MSD 1,N/A,N/A,N/A,N/A,71.8%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::15,Learning,Internal Leader Fill Rate,Multi-State Division 1,MSD 1,Region,South East Region Cost Centers by Reporting Hierarchy,MSD 1,N/A,N/A,N/A,N/A,77.2%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::16,Learning,Internal Leader Fill Rate,Multi-State Division 2,MSD 2,Region,South West Region Cost Centers by Reporting Hierarchy,MSD 2,N/A,N/A,N/A,N/A,78.6%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::17,Learning,Internal Leader Fill Rate,West Florida Division,WFD,Region,West Florida Division Cost Centers by Reporting Hierarchy,WFD,N/A,N/A,N/A,N/A,73.4%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
LEARNING::18,Learning,Leader Effectiveness (Facility Leadership),SYS,N/A,Corporate,AdventHealth,N/A,N/A,UNRESOLVED_PRESERVED,N/A,N/A,85.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::19,Learning,Leader Effectiveness (Facility Leadership),Corporate Services,Corporate Services Division Cost Centers by Reporting Hierarchy,Division,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,N/A,corporate services division cost centers by reporting hierarchy,90.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::20,Learning,Leader Effectiveness (Facility Leadership),Florida Division (Unresolved),Florida Division Cost Centers by Reporting Hierarchy,Division,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,N/A,Florida Division Cost Centers by Reporting Hierarchy,85.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
