sheet,row,metric,level,location_type,location,real_division,rough_division,recommended_division,confidence,mapping_status,evidence,hierarchy_path,report_support,real_value,rough_value,goal,data_as_of,changed_fields
Team,280,Forecast and Hire,2,FRL,1000418 Home Health Fletcher NC,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000418 Home Health Fletcher NC,Canonical match to a division heading in the June report,2,2,"≥ 12,176",Jul 2026,Division
Team,281,Forecast and Hire,2,FRL,1000419 Hospice Ormond Beach FL,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000419 Hospice Ormond Beach FL,Canonical match to a division heading in the June report,24,24,"≥ 12,176",Jul 2026,Division
Team,282,Forecast and Hire,2,FRL,1000421 OSED WFD Meadow Pointe,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Zephyrhills,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1067 AdventHealth Zephyrhills > 1000421 OSED WFD Meadow Pointe,Exact facility listed under division in June report,6,6,"≥ 12,176",Jul 2026,Division
Team,283,Forecast and Hire,2,FRL,1000425 OSED EFD Fruitland Park,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,high,CONFIRMED_FACILITY_TO_DIVISION,Waterman,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1083 AdventHealth Waterman > 1000425 OSED EFD Fruitland Park,Exact facility listed under division in June report,21,21,"≥ 12,176",Jul 2026,Division
Team,284,Forecast and Hire,2,FRL,1000456 Hospice Greenwood Village CO,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1148 AdventHealth Hospice > 1000456 Hospice Greenwood Village CO,Canonical match to a division heading in the June report,6,6,"≥ 12,176",Jul 2026,Division
Team,285,Forecast and Hire,2,FRL,1000491 Port Charlotte,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Port Charlotte,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1155 AdventHealth Port Charlotte > 1000491 Port Charlotte,Exact facility listed under division in June report,203,203,"≥ 12,176",Jul 2026,Division
Team,286,Forecast and Hire,2,FRL,1000492 OSED WFD Cape Coral,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Port Charlotte,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1155 AdventHealth Port Charlotte > 1000492 OSED WFD Cape Coral,Exact facility listed under division in June report,9,9,"≥ 12,176",Jul 2026,Division
Team,287,Forecast and Hire,2,FRL,1000494 OSED CFD Sand Lake,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000494 OSED CFD Sand Lake,Exact facility listed under division in June report,25,25,"≥ 12,176",Jul 2026,Division
Team,288,Forecast and Hire,2,FRL,1000495 AHMG WFD Port Charlotte,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Port Charlotte,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000495 AHMG WFD Port Charlotte,Exact facility listed under division in June report,7,7,"≥ 12,176",Jul 2026,Division
Team,289,Forecast and Hire,2,FRL,1000499 RxPlus,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1157 RxPlus > 1000499 RxPlus,Preserved or unresolved; no report-backed conversion.,13,13,"≥ 12,176",Jul 2026,none
Team,290,Forecast and Hire,2,FRL,1000500 Expedien,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1158 Expedien > 1000500 Expedien,Preserved or unresolved; no report-backed conversion.,8,8,"≥ 12,176",Jul 2026,none
Team,291,Forecast and Hire,2,FRL,1000503 Wauchula,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Wauchula,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1086 AdventHealth Wauchula > 1000503 Wauchula,Exact facility listed under division in June report,20,20,"≥ 12,176",Jul 2026,Division
Team,292,Forecast and Hire,2,FRL,1000516 Rollins Brook,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,South West Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South West Region Cost Centers by Reporting Hierarchy > 1017 AdventHealth Rollins Brook > 1000516 Rollins Brook,Canonical match to a region grouping in the June report,16,16,"≥ 12,176",Jul 2026,Division
Team,293,Forecast and Hire,2,FRL,1000517 RHC SWR Copperas Cove,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,South West Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South West Region Cost Centers by Reporting Hierarchy > 1108 Family Medicine Rural Health Clinic Copperas > 1000517 RHC SWR Copperas Cove,Canonical match to a region grouping in the June report,2,2,"≥ 12,176",Jul 2026,Division
Team,294,Forecast and Hire,2,FRL,1000519 CSC,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1156 Consolidated Services Center > 1000519 CSC,Preserved or unresolved; no report-backed conversion.,22,22,"≥ 12,176",Jul 2026,none
Team,295,Forecast and Hire,2,FRL,1000520 AH PC Network,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1176 AH PCP Network > 1000520 AH PC Network,Preserved or unresolved; no report-backed conversion.,5,5,"≥ 12,176",Jul 2026,none
Team,296,Forecast and Hire,2,FRL,1000521 AHMG WFD Bond Clinic,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000521 AHMG WFD Bond Clinic,Preserved or unresolved; no report-backed conversion.,18,18,"≥ 12,176",Jul 2026,none
Team,297,Forecast and Hire,2,FRL,1000523 PCN Charlotte,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000523 PCN Charlotte,Canonical match to a division heading in the June report,3,3,"≥ 12,176",Jul 2026,Division
Team,298,Forecast and Hire,2,FRL,1000524 PCN Sarasota,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000524 PCN Sarasota,Canonical match to a division heading in the June report,1,1,"≥ 12,176",Jul 2026,Division
Team,299,Forecast and Hire,2,FRL,1000526 Home Health Port Charlotte,Primary Health Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Port Charlotte,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000526 Home Health Port Charlotte,Exact facility listed under division in June report,1,1,"≥ 12,176",Jul 2026,Division
Team,300,Forecast and Hire,2,FRL,1000529 Hospice Kansas City,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000529 Hospice Kansas City,Canonical match to a division heading in the June report,3,3,"≥ 12,176",Jul 2026,Division
Team,301,Forecast and Hire,2,FRL,1000542 OSED HeathBrook,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,high,CONFIRMED_FACILITY_TO_DIVISION,Ocala,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1060 AdventHealth Ocala > 1000542 OSED HeathBrook,Exact facility listed under division in June report,2,2,"≥ 12,176",Jul 2026,Division
Team,302,Forecast and Hire,2,FRL,1000544 OSED Aurora Highlands,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,Rocky Mountain Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy > 1032 AdventHealth Parker > 1000544 OSED Aurora Highlands,Canonical match to a region grouping in the June report,10,10,"≥ 12,176",Jul 2026,Division
Team,303,Forecast and Hire,2,FRL,1000549 OSED Treaty Oaks,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,high,CONFIRMED_FACILITY_TO_DIVISION,Palm Coast,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy > 1081 AdventHealth Palm Coast > 1000549 OSED Treaty Oaks,Exact facility listed under division in June report,23,23,"≥ 12,176",Jul 2026,Division
Team,304,Forecast and Hire,2,FRL,1000552 AHMG Minneola,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Minneola,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000552 AHMG Minneola,Exact facility listed under division in June report,2,2,"≥ 12,176",Jul 2026,Division
Team,305,Forecast and Hire,2,FRL,1000554 NC Radiation Therapy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,South East Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South East Region Cost Centers by Reporting Hierarchy > 1185 NC Radiation Therapy > 1000554 NC Radiation Therapy,Canonical match to a region grouping in the June report,20,20,"≥ 12,176",Jul 2026,Division
Team,306,Forecast and Hire,2,FRL,1000561 AHMG Deals,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000561 AHMG Deals,Preserved or unresolved; no report-backed conversion.,20,20,"≥ 12,176",Jul 2026,none
Team,307,Forecast and Hire,2,FRL,1000565 Rocky Mountain Region Corp,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,Rocky Mountain Region,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy > 1106 Portercare Adventist Health System > 1000565 Rocky Mountain Region Corp,Canonical match to a region grouping in the June report,8,8,"≥ 12,176",Jul 2026,Division
Team,308,Forecast and Hire,2,FRL,1000566 Rocky Mountain Region AIT,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,Rocky Mountain Region,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy > 1106 Portercare Adventist Health System > 1000566 Rocky Mountain Region AIT,Canonical match to a region grouping in the June report,5,5,"≥ 12,176",Jul 2026,Division
Team,309,Forecast and Hire,2,FRL,1000567 OSED Highlands Ranch,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,Rocky Mountain Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy > 1031 AdventHealth Littleton > 1000567 OSED Highlands Ranch,Canonical match to a region grouping in the June report,1,1,"≥ 12,176",Jul 2026,Division
Team,310,Forecast and Hire,2,Region,AIT Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > AIT Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,148,148,"≥ 12,176",Jul 2026,none
Team,311,Forecast and Hire,2,Region,Central Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_DIRECT_DIVISION,central florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,"4,054","4,054","≥ 12,176",Jul 2026,Division
Team,312,Forecast and Hire,2,Region,East Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,high,CONFIRMED_DIRECT_DIVISION,east florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,"1,812","1,812","≥ 12,176",Jul 2026,Division
Team,313,Forecast and Hire,2,Region,Great Lakes Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Great Lakes Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Great Lakes Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,721,721,"≥ 12,176",Jul 2026,Division
Team,314,Forecast and Hire,2,Region,Home Office Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,639,639,"≥ 12,176",Jul 2026,none
Team,315,Forecast and Hire,2,Region,Mid America Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,968,968,"≥ 12,176",Jul 2026,Division
Team,316,Forecast and Hire,2,Region,Primary Health Cost Centers by Reporting Hierarchy,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,796,796,"≥ 12,176",Jul 2026,Division
Team,317,Forecast and Hire,2,Region,Rocky Mountain Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,Rocky Mountain Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,982,982,"≥ 12,176",Jul 2026,Division
Team,318,Forecast and Hire,2,Region,South East Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,South East Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South East Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,883,883,"≥ 12,176",Jul 2026,Division
Team,319,Forecast and Hire,2,Region,South West Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,South West Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South West Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,914,914,"≥ 12,176",Jul 2026,Division
Team,320,Forecast and Hire,2,Region,West Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_DIRECT_DIVISION,west florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,"2,766","2,766","≥ 12,176",Jul 2026,Division
Team,321,Team Member Engagement,0,Corporate,AdventHealth,N/A,N/A,N/A,low,UNRESOLVED_PRESERVED,,AdventHealth,Preserved or unresolved; no report-backed conversion.,82,82,>=81.000000000000,Mar 2026,none
Team,322,Team Member Engagement,1,Division,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,87,87,>=81.000000000000,Mar 2026,none
